vin_#,brand,model,model_year,series,segment,bodystyle,month_sold,day_sold,year_sold,sold_date,quarter,sales_volume,drive_configuration,engine,transmission,trim,color,seats,package,moonroof,parking_assist,remote_start,keyless_entry_keypad,premium_radio,power_mirror,moonroof_cost,parking_assist_cost,remote_start_cost,keyless_entry_keypad_cost,premium_radio_cost,power_mirror_cost,region,country_of_sale,days_on_lot,sales_channel_l1,sales_channel_l2,sales_channel_l3,marketing_campaign,gross_sales,variable_marketing,net_sales,labor,tooling,materials,option_costs,package_costs,freight,overhead,warranty,engineering,depreciation,total_variable_cost,contribution_margin,total_fixed_cost,tariffs,net_revenue,after_tax,sales_date
1ABCD2E34FG634628,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,6.0,27.0,2015.0,6/27/15,Q2,1.0,AWD,v13 Turbo,6 Speed Manual,Special Edition,Blue,Cloth,None,0,0.0,1,1.0,0.0,0.0,0.0,0.0,425.0,640.0,0.0,0.0,North America,USA,2,Retail,Non-Employee,Leasing,Segment and Misc Incentives,31036.0,1123.0,29913.0,1366.0,1490.0,4065.0,1615.0,0.0,1084.0,1117.0,1137.0,1383.0,607.0,10384.0,19529.0,3480.0,847.0,16049.0,15202.0,2015-06-27
1ABCD2E34FG634338,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,3.0,10.0,2015.0,3/10/15,Q1,1.0,AWD,v11 Supercharged,5 Speed Auto,Luxury,Black,Vinyl,None,1,0.0,0,0.0,0.0,1.0,825.0,0.0,0.0,0.0,0.0,370.0,North America,USA,2,Retail,Non-Employee,Leasing,Special Leases,30280.0,2915.0,27365.0,1332.0,1453.0,4239.0,1615.0,0.0,848.0,1090.0,1211.0,1453.0,484.0,10336.0,17029.0,3391.0,827.0,13638.0,12811.0,2015-03-10
1ABCD2E34FG634246,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,6.0,3.0,2015.0,6/3/15,Q2,1.0,4WD,v11 Gas,6 Speed Manual,Special Edition,Blue,Vinyl,Technology Package,1,0.0,0,0.0,0.0,0.0,825.0,0.0,0.0,0.0,0.0,0.0,North America,USA,3,Retail,Non-Employee,Leasing,Low-Interest Financing,29692.0,4330.0,25362.0,1306.0,1425.0,4371.0,1245.0,0.0,1066.0,1069.0,1342.0,1329.0,661.0,10399.0,14963.0,3415.0,811.0,11547.0,10737.0,2015-06-03
1ABCD2E34FG634796,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,10.0,1.0,2015.0,10/1/15,Q4,1.0,4WD,v11 Gas,6 Speed Manual,Special Edition,Gray,Vinyl,Technology Package,1,0.0,0,0.0,0.0,0.0,825.0,0.0,0.0,0.0,0.0,0.0,North America,USA,3,Retail,Non-Employee,Leasing,Low-Interest Financing,29930.0,4365.0,25565.0,1317.0,1437.0,4406.0,1245.0,1110.0,1075.0,1077.0,1353.0,1340.0,666.0,11583.0,13982.0,3443.0,817.0,10540.0,9723.0,2015-10-01
1ABCD2E34FG634522,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,2.0,13.0,2015.0,2/13/15,Q1,1.0,4WD,v11 Gas,5 Speed Auto,Luxury,Gray,Vinyl,Technology Package,1,0.0,1,1.0,1.0,1.0,825.0,0.0,425.0,640.0,710.0,370.0,North America,USA,6,Dealer/Self Registration,Rental,Financing,Low-Interest Financing,30516.0,2965.0,27551.0,1347.0,1470.0,4287.0,2970.0,1795.0,857.0,1102.0,1225.0,1470.0,490.0,13585.0,13966.0,3430.0,833.0,10536.0,9703.0,2015-02-13
1ABCD2E34FG634448,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,8.0,20.0,2015.0,8/20/15,Q3,1.0,AWD,v11 Diesel,6 Speed Manual,Luxury,Blue,Leather,Exterior Protection Package,0,1.0,0,1.0,1.0,0.0,0.0,870.0,0.0,640.0,710.0,0.0,North America,USA,9,Retail,Non-Employee,Financing,Low-Interest Financing,29096.0,3000.0,26096.0,1280.0,1397.0,4841.0,2645.0,0.0,815.0,1047.0,1962.0,1804.0,466.0,12590.0,13506.0,3666.0,794.0,9839.0,9045.0,2015-08-20
1ABCD2E34FG634546,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,3.0,29.0,2015.0,3/29/15,Q1,1.0,4WD,v13 Gas,5 Speed Manual,Luxury,Silver,Cloth,Technology Package,0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,710.0,370.0,North America,USA,9,Dealer/Self Registration,Rental,Cash,Segment and Misc Incentives,30488.0,1123.0,29365.0,1341.0,1463.0,4268.0,1080.0,1795.0,854.0,1098.0,1220.0,1463.0,488.0,11656.0,17709.0,3415.0,832.0,14295.0,13462.0,2015-03-29
1ABCD2E34FG634421,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,8.0,20.0,2015.0,8/20/15,Q3,1.0,4WD,v11 Turbo,5 Speed Auto,Deluxe,Gray,Vinyl,Technology Package,0,0.0,1,1.0,0.0,0.0,0.0,0.0,425.0,640.0,0.0,0.0,North America,USA,10,Retail,Non-Employee,Financing,Low-Interest Financing,30040.0,2692.0,27348.0,1322.0,1442.0,4927.0,2035.0,1110.0,841.0,1081.0,1962.0,1807.0,481.0,13278.0,14070.0,3730.0,820.0,10340.0,9520.0,2015-08-20
1ABCD2E34FG634513,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,8.0,20.0,2015.0,8/20/15,Q3,1.0,4WD,v11 Turbo,5 Speed Auto,Deluxe,Gray,Vinyl,Technology Package,0,0.0,1,1.0,0.0,0.0,0.0,0.0,425.0,640.0,0.0,0.0,North America,USA,10,Retail,Non-Employee,Financing,Low-Interest Financing,30040.0,2692.0,27348.0,1322.0,1442.0,4927.0,2035.0,1110.0,841.0,1081.0,1962.0,1807.0,481.0,13278.0,14070.0,3730.0,820.0,10340.0,9520.0,2015-08-20
1ABCD2E34FG634554,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,8.0,20.0,2015.0,8/20/15,Q3,1.0,4WD,v11 Turbo,5 Speed Auto,Deluxe,Gray,Vinyl,Technology Package,0,0.0,1,1.0,0.0,0.0,0.0,0.0,425.0,640.0,0.0,0.0,South America,USA,10,Retail,Non-Employee,Financing,Low-Interest Financing,30040.0,2692.0,27348.0,1322.0,1442.0,4927.0,2035.0,0.0,841.0,1081.0,1962.0,1807.0,481.0,12168.0,15180.0,3730.0,820.0,11450.0,10630.0,2015-08-20
